"hotel","location","nearest place","rating","reviews score","count of riviews","hotel type","room type"
"FabHotel Royal Park Residency","Central Chennai, Chennai","4.6 km from centre","5.8","Review score","44 reviews","Deluxe Room","1 double bed"
"Floressa Randa, Porur","Chennai","10.3 km from centre","7.3","Good","140 reviews","Deluxe Room","Multiple bed types"
"Itsy By Treebo - Mirra","South Chennai, Chennai","7.4 km from centre","7.0","Good","198 reviews","[Sanitized] Deluxe Twin Room","1 single bed"
"Radha Regent, Chennai","Koyambedu, Chennai","3.7 km from centre","7.4","Good","432 reviews","Superior Double or Twin Room","Multiple bed types"
"Niketana @ Boat Club","South Chennai, Chennai","2.6 km from centre","7.8","Good","65 reviews","Deluxe Room","1 extra-large double bed"
"V V Grand","Central Chennai, Chennai","1 km from centre","8.6","Fabulous","16 reviews","Standard Double Room","1 single bed"
"Arunaachalaa Resiidency","Triplicane, Chennai","5.3 km from centre","7.4","Good","82 reviews","Deluxe Double Room","1 large double bed"
"Treebo Trend Adin Residence Chennai Trade Centre","Nandambakkam, Chennai","6.2 km from centre","6.7","Review score","113 reviews","[Sanitized] Deluxe Double Room","1 large double bed"
"The Residency Towers","T - Nagar, Chennai","1.1 km from centre","8.4","Very good","708 reviews","Premier Room","Multiple bed types"
"Gokulam Park Sabari-Siruseri SIPCOT","Old Mahabalipuram Road, Chennai","22.1 km from centre","7.5","Good","51 reviews","Deluxe Twin Room with Free Drop to Sipcot IT Park","2 single beds"
"Season 4 Residences - Nungambakkam Near US consulate, Apollo Hospital, Shankar Nethralaya","Nungambakkam, Chennai","2 km from centre","7.0","Good","636 reviews","Deluxe Double or Twin Room","Beds: 1 double or 2 singles"
"Grand Chennai by GRT Hotels","T - Nagar, Chennai","1.2 km from centre","8.6","Fabulous","1,353 reviews","Business Double or Twin Room","Beds: 1 double or 2 singles"
"Ambassador Pallava","Egmore-Nungambakam, Chennai","4 km from centre","7.4","Good","226 reviews","Deluxe Room","1 large double bed"
"Madras Regency","Chennai","4.5 km from centre","6.9","Review score","12 reviews","Deluxe Double Room","1 double bed"
"FabHotel Welcome Inn","Chennai","7.2 km from centre","6.2","Review score","25 reviews","Deluxe Room","1 double bed"
"Hotel La Castle","Koyambedu, Chennai","4.6 km from centre","6.6","Review score","173 reviews","Deluxe Room","Multiple bed types"
"Pride Hotel, Chennai","Central Chennai, Chennai","4.6 km from centre","5.5","Review score","198 reviews","Deluxe Double Room with 15% off on Food & Soft Beverages","2 beds (1 double, 1 futon)"
"SKM REGENCY","Central Chennai, Chennai","6.1 km from centre","7.5","Good","175 reviews","Deluxe Twin Room","2 single beds"
"Upar Hotels Cinecity Kodambakkam RAGHAVENDRA MANDAPAM","Central Chennai, Chennai","1.6 km from centre","7.0","Good","213 reviews","Twin Room","1 single bed"
"RATHNA RESIDENCY - Near US CONSULATE","T - Nagar, Chennai","1.9 km from centre","8.3","Very good","290 reviews","Deluxe Room","1 extra-large double bed"
"FabHotel Sasti Inn","Thoraipakkam, Chennai","10.5 km from centre","8.4","Very good","300 reviews","Deluxe Room","1 large double bed"
"Ibis Chennai OMR - An Accor Brand","Sholinganallur, Chennai","15.1 km from centre","7.7","Good","2,415 reviews","Deluxe Queen Bed Room - Sweet Bed by ibis","1 large double bed"
"ibis Chennai City Centre - An Accor Brand","Central Chennai, Chennai","3.1 km from centre","7.1","Good","1,526 reviews","Standard Queen Bed with Extra Benefits","1 double bed"
"ibis Chennai Sipcot - An Accor Brand","SIPCOT IT Park, Chennai","23.3 km from centre","7.4","Good","1,632 reviews","Standard Room Queen Bed","1 large double bed"
"Fairfield by Marriott Chennai OMR","Old Mahabalipuram Road, Chennai","18.3 km from centre","7.8","Good","856 reviews","Fairfield Twin Room","3 beds (2 singles, 1 sofa bed)"
"FabHotel Nestlay Rooms Airport","South Chennai, Chennai","6.4 km from centre","8.2","Very good","1,164 reviews","Deluxe Room","2 single beds"
"Treebo Trend Eco Stay T Nagar","T - Nagar, Chennai","0.9 km from centre","9.6","Exceptional","7 reviews","Standard Double Room","1 large double bed"
"Blossoms Hotel & Service Apartments","T - Nagar, Chennai","0.7 km from centre","8.8","Fabulous","5 reviews","Standard Double Room","1 large double bed"
"Citadines OMR Chennai","Sholinganallur, Chennai","15.6 km from centre","8.4","Very good","2,089 reviews","Studio Deluxe","1 large double bed"
"Four Points by Sheraton Chennai OMR","Old Mahabalipuram Road, Chennai","18.4 km from centre","7.5","Good","752 reviews","Superior Double Bed Room With 10% Off on Restaurant","1 extra-large double bed"
"Holiday Inn Express Chennai OMR Thoraipakkam, an IHG Hotel","Thoraipakkam, Chennai","12.3 km from centre","6.3","Review score","1,187 reviews","Queen Room - Mobility Access/Non-Smoking","1 double bed"
"Hotel Benzz Park Chennai","T - Nagar, Chennai","0.9 km from centre","7.7","Good","4 reviews","Deluxe Double Room","1 large double bed"
"Hotel Beebiz Guindy","South Chennai, Chennai","2.9 km from centre","7.2","Good","250 reviews","Deluxe Room","Beds: 1 double or 2 singles"
"Treebo Trend Golden Swan Airport Free Pick & Drop","South Chennai, Chennai","12.6 km from centre","7.8","Good","1,433 reviews","Standard Double Room","1 large double bed"
"Treebo Trend Elan","Nungambakkam, Chennai","1.7 km from centre","6.9","Review score","356 reviews","Standard Double Room","2 single beds"
"Novotel Chennai Sipcot","SIPCOT IT Park, Chennai","23.3 km from centre","8.1","Very good","1,445 reviews","Superior King Room","1 extra-large double bed"
"FabExpress P.A.S Residency","Mylapore, Chennai","4.3 km from centre","8.1","Very good","1,650 reviews","Deluxe Room","1 double bed"
"Essentia Premier Hotel, Chennai","Thoraipakkam, Chennai","10 km from centre","8.3","Very good","550 reviews","Standard Queen Room","1 single bed"
"Vivanta Chennai IT Expressway OMR","Sholinganallur, Chennai","15 km from centre","8.3","Very good","1,712 reviews","Superior Room OMR View 25% Off on Food & Soft Beverages","1 extra-large double bed"
"Hotel Comfort Park - Opposite Sri Ramachandra Medical College Porur","Chennai","10.2 km from centre","8.2","Very good","325 reviews","Comfort Double","1 double bed"
"Radisson Blu Hotel Chennai City Centre","Egmore-Nungambakam, Chennai","3.8 km from centre","8.3","Very good","2,080 reviews","Standard Double or Twin Room","Beds: 1 double or 2 singles"
"FabExpress B Zone","Nungambakkam, Chennai","2.1 km from centre","8.3","Very good","1,156 reviews","Deluxe Room","1 double bed"
"FabHotel Skyry","T - Nagar, Chennai","1 km from centre","7.2","Good","283 reviews","Deluxe Room","1 large double bed"
"Treebo Trend Pechis Castle","Nungambakkam, Chennai","3 km from centre","7.8","Good","196 reviews","[Sanitized] Standard Double or Twin Room","Beds: 1 double or 2 singles"
"Treebo Trend Vapr Guindy Ekkatuthangal","South Chennai, Chennai","3.7 km from centre","7.8","Good","288 reviews","Deluxe Double Room","Multiple bed types"
"JP Chennai Hotel","Koyambedu, Chennai","4.6 km from centre","6.9","Review score","182 reviews","Executive Double or Twin Room","Beds: 1 double or 2 singles"
"GRAND ONE TOWER","Central Chennai, Chennai","3 km from centre","7.3","Good","51 reviews","Budget Double Room","1 extra-large double bed"
"OYO Townhouse 1116 US consulate","Central Chennai, Chennai","4.1 km from centre","7.2","Good","146 reviews","Deluxe Double or Twin Room","1 large double bed"
"Green Park Chennai","Chennai","3 km from centre","8.1","Very good","937 reviews","Cinnamon","Beds: 1 double or 2 singles"
"Ramada Chennai Egmore","Egmore-Nungambakam, Chennai","5.3 km from centre","6.5","Review score","47 reviews","Deluxe Twin Room - Book & Unlock Exclusive Deals","2 single beds"
"Hotel Sunpark Inn","Central Chennai, Chennai","5.9 km from centre","7.1","Good","69 reviews","Economy Double Room","1 double bed"
"The Belstead","Nungambakkam, Chennai","2.7 km from centre","7.9","Good","434 reviews","Elegant Room","1 extra-large double bed"
"BRICK CASTLE","Chennai","10.8 km from centre","8.5","Very good","143 reviews","Deluxe Double Room","1 large double bed"
"Treebo Trend Green City","Central Chennai, Chennai","6 km from centre","6.9","Review score","45 reviews","Deluxe Double Room","1 large double bed"
"Welcomhotel by ITC Hotels, Cathedral Road, Chennai","Central Chennai, Chennai","2.6 km from centre","8.6","Fabulous","50 reviews","Club Room","1 large double bed"
"Accord Chrome","South Chennai, Chennai","14.1 km from centre","8.6","Fabulous","168 reviews","King Room","1 extra-large double bed"
"Stay Court - Business Class Hotel - Near Central Railway Station","Central Chennai, Chennai","6.2 km from centre","8.5","Very good","275 reviews","Deluxe Double Room","1 double bed"
"FabHotel Earth 2, Chennai","South Chennai, Chennai","3.9 km from centre","6.8","Review score","17 reviews","Deluxe Room","1 double bed"
"The Dolphin Park Hotel, Virugambakkam","Chennai","4.8 km from centre","6.5","Review score","140 reviews","Standard Double Room with Fan","1 extra-large double bed"
"Staylite Suites","Thiruvanmiyur, Chennai","6.7 km from centre","8.0","Very good","114 reviews","Deluxe Room","1 large double bed"
"Park Avenue Hotel Nungambakkam","Nungambakkam, Chennai","2.8 km from centre","6.9","Review score","620 reviews","Premium Room","Beds: 1 double or 2 singles"
"SM MANSION near Harbour & High court","Central Chennai, Chennai","8.7 km from centre","8.4","Very good","415 reviews","Deluxe Double Room (2 Adults + 1 Child)","1 large double bed"
"Treebo Trend Nestlay Airport Alandur","South Chennai, Chennai","6.4 km from centre","6.4","Review score","176 reviews","Double Room","2 single beds"
"The Accord Metropolitan","T - Nagar, Chennai","1.1 km from centre","7.7","Good","783 reviews","Superior Twin Room","2 single beds"
"Townhouse OMR - Formerly Haaha stays","South Chennai, Chennai","7.8 km from centre","6.4","Review score","37 reviews","Standard Double Room","3 beds (1 single, 1 extra-large double, 1 large double)"
"Chippy Residency","South Chennai, Chennai","7.1 km from centre","7.7","Good","145 reviews","Standard King Room","1 extra-large double bed"
"FabHotel The Fortune Inn","Chennai","14.4 km from centre","7.1","Good","257 reviews","Deluxe Room","1 large double bed"
"Redfox Hotel- Aminjikarai","Central Chennai, Chennai","4 km from centre","7.4","Good","43 reviews","Deluxe King Room","1 double bed"
"FabHotel Prime Chennai Deluxe","Chennai","4.9 km from centre","6.4","Review score","11 reviews","Deluxe Room","1 double bed"
"Stayz Inn Hotels - T nagar Chennai Near Pondy Bazzar","T - Nagar, Chennai","0.8 km from centre","3.6","Review score","5 reviews","Double Room","1 double bed"
"Ginger Chennai OMR","Chennai","24.6 km from centre","8.9","Fabulous","343 reviews","Luxe Queen Room","1 large double bed"
"ST Parklane Airport Hotel Chennai","South Chennai, Chennai","11.7 km from centre","5.4","Review score","525 reviews","Standard Double Room","Multiple bed types"
"Novotel Chennai OMR","Sholinganallur, Chennai","15.1 km from centre","7.9","Good","1,324 reviews","Executive Room King Bed - Aqua Pool View","1 extra-large double bed"
"Greens Suite - Business Class Hotel - Opposite Ripon Building","Central Chennai, Chennai","6.1 km from centre","8.3","Very good","229 reviews","Deluxe Double Room","1 double bed"
"Treebo Trend Samhaar Residency Thoraipakkam","Thoraipakkam, Chennai","10.6 km from centre","7.5","Good","84 reviews","Standard Double Room","1 large double bed"
"Hotel Chennai Gate","Egmore-Nungambakam, Chennai","5 km from centre","6.3","Review score","176 reviews","Executive Double Room","1 double bed"
"century courtyard","Central Chennai, Chennai","2.9 km from centre","6.8","Review score","105 reviews","Budget Twin Room","2 single beds"
"Zone By The Park, ORR, Chennai","Chennai","10.8 km from centre","7.1","Good","141 reviews","Upper Zone Twin","1 large double bed"
"Treebo Trend Innside","T - Nagar, Chennai","1.3 km from centre","6.4","Review score","163 reviews","Deluxe Double Room","Multiple bed types"
"Hotel Halez","Sholinganallur, Chennai","15.7 km from centre","8.3","Very good","141 reviews","Deluxe King Room","1 extra-large double bed"
"Ginger Chennai - Vadapalani","Chennai","2.9 km from centre","5.1","Review score","195 reviews","Standard Twin Room","2 single beds"
"Hotel AK International - Chennai","Central Chennai, Chennai","5.9 km from centre","6.4","Review score","27 reviews","Deluxe Double Room","1 extra-large double bed"
"Savera Hotel","Mylapore, Chennai","3.1 km from centre","6.9","Review score","781 reviews","Executive Double Room","Beds: 1 double or 2 singles"
"FabHotel Luck Inn Residency","Old Mahabalipuram Road, Chennai","18.3 km from centre","7.7","Good","7 reviews","Deluxe Room","1 double bed"
"Atlantiš Blu inn","Chennai","36.8 km from centre","7.4","Good","5 reviews","Double Room with Balcony","1 large double bed"
"Radisson Blu Hotel GRT, Chennai International Airport","South Chennai, Chennai","7.2 km from centre","9.0","Superb","658 reviews","Premium Room King with Airport Transfers","Multiple bed types"
"BALA GULNAAR GUEST HOUSE","Central Chennai, Chennai","2.8 km from centre","8.3","Very good","18 reviews","Economy Double Room","1 double bed"
"Ramada Plaza Chennai","South Chennai, Chennai","3.4 km from centre","8.2","Very good","1,638 reviews","Standard Twin Room","2 single beds"
"FabExpress Town Space Apartment","South Chennai, Chennai","10.6 km from centre","7.8","Good","74 reviews","Deluxe Room","1 double bed"
"Euphoria Extended Stays - OMR IT Expressway Chennai","Sholinganallur, Chennai","14.2 km from centre","7.8","Good","80 reviews","Deluxe Double or Twin Room","3 beds (2 singles, 1 large double)"
"BHIMAS INN -Puratchi Thalaivar Dr M G Ramachandran Central Railway Station Chennai","Central Chennai, Chennai","7 km from centre","8.6","Fabulous","307 reviews","Economy Double Room","3 beds (2 singles, 1 double)"
"Redstone Hotel-TNagar","T - Nagar, Chennai","1.5 km from centre","7.3","Good","3 reviews","Deluxe Room (2 Adults + 1 Child)","1 double bed"
"Grand Courtyard Business Hotel","Chennai","3.5 km from centre","6.9","Review score","34 reviews","Double or Twin Room with Bathroom","2 single beds"
"Bloom Hub Guindy","South Chennai, Chennai","3.2 km from centre","7.7","Good","59 reviews","Deluxe King Room","1 large double bed"
"The Leela Palace Chennai","South Chennai, Chennai","5.1 km from centre","8.7","Fabulous","2,142 reviews","Deluxe Double or Twin Room with City View","3 beds (2 singles, 1 extra-large double)"
"The Townhall (Unit of Prohotel)","Thoraipakkam, Chennai","10.5 km from centre","7.7","Good","99 reviews","Deluxe King Room","1 extra-large double bed"
"KAY-EM Spectra Hotel","Chennai","8.3 km from centre","8.0","Very good","11 reviews","Standard Double or Twin Room","3 beds (2 singles, 1 large double)"
